hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,arrival_date_week_number,stays_in_week_nights,stays_in_weekend_nights,adults,children,babies,meal,country,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
Golden Sands Hotel,VERDADERO,62,2018,12,17,48,26,10,9,2,1,BB,China,FALSO,0,7,G,G,4,Cash deposit,9,Contract,VERDADERO,,Canceled,07.16.2019,Baxie Hollingby,bhollingbydu@uol.com.br,+1 (606) 721-3317,5525889630448260
Grand Hotel,VERDADERO,64,2019,4,13,14,12,4,9,5,3,HB,Colombia,VERDADERO,5,4,D,D,9,No deposit,0,Contract,,7,Check-Out,12.12.2016,Maurita Carswell,mcarswelldv@hp.com,680.756.4468,201774498730271
Golden Sands Hotel,FALSO,68,2016,1,7,1,24,8,10,1,4,HB,Portugal,FALSO,6,,G,G,2,Cash deposit,7,Contract,FALSO,,No-Show,05/12/2017,Beilul Parren,bparrendw@tripod.com,(389) 122-9123,3547237323148870
Ocean Breeze Resort,VERDADERO,19,2015,6,19,23,18,6,10,3,5,FB,Russia,FALSO,,5,D,D,7,Credit card deposit,10,Transient-Party,VERDADERO,7,No-Show,12.21.2015,Walsh Hellikes,whellikesdx@facebook.com,745-303-9465,5602230947723550
Mountain View Lodge,FALSO,42,2017,6,27,24,6,2,2,3,5,HB,Czech Republic,FALSO,0,0,G,G,0,Cash deposit,6,Transient,,7,Check-Out,05.04.2020,Jenine Larvor,jlarvordy@tinypic.com,(950) 484-4972,201486030402919
Ocean Breeze Resort,VERDADERO,19,2015,4,30,16,12,4,8,2,4,BB,Yemen,FALSO,,,C,C,8,No deposit,4,Transient,FALSO,9,Check-Out,08.05.2016,Culley Yonnie,cyonniedz@dyndns.org,658.244.9059,6333303527679270000
Sunset Inn,VERDADERO,17,2016,10,9,38,19,6,8,5,5,HB,Saudi Arabia,,10,8,G,G,,No deposit,7,Transient,VERDADERO,10,Canceled,02.07.2016,Morris Snarie,msnariee0@phpbb.com,909-845-9910,3568824843446730
Sunset Inn,FALSO,78,2015,3,22,12,8,2,1,4,2,BB,Russia,FALSO,,8,A,A,1,Credit card deposit,6,Transient,VERDADERO,10,Canceled,02.08.2017,Gelya Boykett,gboykette1@constantcontact.com,497.473.7539,3529157173813980
Mountain View Lodge,FALSO,72,2015,4,23,16,6,2,9,,,HB,Brazil,VERDADERO,0,9,D,D,7,Cash deposit,4,Transient,FALSO,8,Check-Out,14-10-2020,Hodge Ruane,hruanee2@sohu.com,(232) 106-0059,201513320678591
Grand Hotel,FALSO,100,2019,5,3,17,9,2,10,1,3,HB,Germany,VERDADERO,,10,D,D,5,Debit car deposit,0,Transient,VERDADERO,10,Canceled,17/12/2015,Ced Fieldstone,cfieldstonee3@wikimedia.org,+1 (136) 989-8130,3568536471532140
Ocean Breeze Resort,FALSO,53,2015,6,19,23,14,4,7,4,2,FB,Peru,VERDADERO,,4,G,G,0,Credit card deposit,1,Transient-Party,FALSO,9,Canceled,15-05-2016,Evita Antwis,eantwise4@wix.com,646-867-5733,4903628121134470
Golden Sands Hotel,FALSO,87,2020,9,23,36,22,8,4,2,2,FB,Cameroon,FALSO,,6,D,D,2,Cash deposit,2,Transient,FALSO,6,Canceled,05.17.2017,Max Genike,mgenikee5@about.me,+1 (549) 048-3613,201808586212691
Mountain View Lodge,FALSO,61,2017,11,2,41,28,10,5,5,1,HB,Indonesia,VERDADERO,5,10,A,A,8,No deposit,5,Transient,FALSO,1,Check-Out,06.18.2016,Norri Booi,nbooie6@google.pl,+1 (249) 710-2824,3587759113536100
Ocean Breeze Resort,FALSO,53,2015,11,19,43,1,0,1,2,,BB,Czech Republic,FALSO,,0,A,A,5,Cash deposit,,Transient,FALSO,,No-Show,06-10-2018,Guillema Hartfield,ghartfielde7@privacy.gov.au,(197) 518-3761,67069285662779300
Ocean Breeze Resort,FALSO,,2017,11,15,43,23,8,5,1,3,HB,Canada,FALSO,,10,F,F,,Cash deposit,2,Transient-Party,FALSO,0,No-Show,23-02-2015,Gracia Vamplers,gvamplerse8@gizmodo.com,(972) 173-7859,3540714437646460
Ocean Breeze Resort,FALSO,63,2016,4,13,14,17,6,6,3,3,BB,China,VERDADERO,4,,D,D,10,No deposit,9,Transient,FALSO,6,Canceled,23-08-2019,Ariel Lidgley,alidgleye9@i2i.jp,(935) 206-1027,3552780807940210
Grand Hotel,FALSO,74,2018,12,1,48,7,2,3,1,2,FB,Sweden,VERDADERO,0,3,C,C,1,Debit car deposit,8,Transient,VERDADERO,,Canceled,27/02/2017,Katlin Van De Cappelle,kvanea@cam.ac.uk,(464) 685-7028,201645261575806
Golden Sands Hotel,VERDADERO,5,2015,12,19,48,21,8,2,5,,BB,Vietnam,VERDADERO,10,10,C,C,0,No deposit,4,Contract,FALSO,8,Canceled,13/03/2019,Bertie Scoullar,bscoullareb@illinois.edu,695.259.9110,3565975375763540
Sunset Inn,VERDADERO,75,2018,6,6,21,7,2,4,2,1,HB,China,VERDADERO,1,2,D,D,0,Cash deposit,7,Contract,FALSO,,Canceled,08.02.2020,Fey Silwood,fsilwoodec@joomla.org,+1 (604) 540-5113,3586441659915990
Grand Hotel,VERDADERO,86,2018,8,24,32,20,8,1,1,5,HB,Portugal,FALSO,2,0,F,F,1,Cash deposit,10,Transient-Party,VERDADERO,0,No-Show,21/01/2017,Isidore Dowson,idowsoned@yelp.com,+1 (993) 470-7476,56022223525913000
Golden Sands Hotel,VERDADERO,21,2020,12,2,48,4,0,10,,1,FB,Philippines,FALSO,2,7,F,F,10,Cash deposit,10,Transient-Party,FALSO,9,Canceled,27-08-2018,Quill Smallman,qsmallmanee@dell.com,281.160.8863,3567179820602610
Ocean Breeze Resort,VERDADERO,100,2019,1,14,2,6,2,9,3,3,HB,Portugal,VERDADERO,,4,A,A,6,No deposit,4,Transient,FALSO,7,Check-Out,08.07.2020,Buckie Cunliffe,bcunliffeef@live.com,+1 (716) 324-8490,3545127812429780
Sunset Inn,VERDADERO,47,2018,2,17,7,18,6,1,,3,BB,Libya,VERDADERO,2,7,F,F,8,Credit card deposit,2,Transient,FALSO,6,Canceled,04.17.2018,Lion Farrey,lfarreyeg@oracle.com,699-576-1523,3535767669848670
Ocean Breeze Resort,VERDADERO,50,2020,8,7,29,2,0,4,3,3,HB,Iran,FALSO,7,0,D,D,9,Credit card deposit,4,Contract,FALSO,8,Check-Out,01-01-2019,Chrysler Van Arsdall,cvaneh@cargocollective.com,461-492-1867,4911388218841270000
Grand Hotel,VERDADERO,50,2018,1,4,1,11,4,6,4,,BB,China,VERDADERO,3,6,C,C,8,Debit car deposit,6,Contract,VERDADERO,8,Canceled,29-11-2018,Franni Faull,ffaullei@ucsd.edu,931.396.3504,30510611995889
Ocean Breeze Resort,VERDADERO,82,2017,3,4,9,9,2,4,2,4,BB,Russia,VERDADERO,6,3,E,E,5,Credit card deposit,2,Transient-Party,VERDADERO,,Canceled,02.17.2018,Ashlan Lote,aloteej@wunderground.com,(899) 031-9273,6706183351236900
Golden Sands Hotel,VERDADERO,75,2016,7,27,28,11,4,3,4,2,FB,China,,8,6,C,C,8,No deposit,0,Transient,VERDADERO,9,Check-Out,19/10/2015,Friederike Upchurch,fupchurchek@cnet.com,+1 (726) 956-8974,5048373884856460
Sunset Inn,VERDADERO,97,2017,10,12,38,13,4,3,,3,BB,Germany,FALSO,7,7,C,C,2,Credit card deposit,1,Transient,,7,Canceled,01-03-2016,Cilka Scurry,cscurryel@independent.co.uk,+1 (866) 394-2187,589397619381187000
Mountain View Lodge,VERDADERO,92,2017,4,20,15,25,10,10,4,5,BB,Indonesia,VERDADERO,4,2,F,F,,No deposit,6,Contract,VERDADERO,1,Canceled,10/05/2019,Feliks Schustl,fschustlem@home.pl,+1 (527) 894-0439,3575279469078270
Sunset Inn,FALSO,51,2019,12,7,48,20,8,4,3,1,HB,Indonesia,VERDADERO,9,,G,G,8,Credit card deposit,2,Transient,FALSO,,Check-Out,24/12/2018,Laurella Callicott,lcallicotten@opensource.org,773-431-6088,4373451067014410
Mountain View Lodge,FALSO,38,2015,2,16,7,9,2,1,1,2,HB,Indonesia,FALSO,2,5,E,E,1,No deposit,9,Contract,VERDADERO,4,Check-Out,06/03/2017,Tilly Sidey,tsideyeo@nsw.gov.au,947.908.4673,4903981016564830000
Grand Hotel,FALSO,29,2017,9,21,35,24,8,4,2,,HB,Mozambique,VERDADERO,2,1,A,A,,Cash deposit,2,Transient,VERDADERO,5,Canceled,10-04-2015,Giovanni Markova,gmarkovaep@ycombinator.com,180-475-2429,3532615101895390
Golden Sands Hotel,FALSO,19,2015,3,12,10,10,4,9,2,2,HB,Croatia,,,7,A,A,8,Cash deposit,2,Contract,FALSO,5,Check-Out,19-05-2020,Peter Keford,pkefordeq@upenn.edu,+1 (202) 392-5353,6396501652514060
Grand Hotel,FALSO,58,2017,8,1,29,17,6,1,5,2,BB,China,,10,6,A,A,4,Credit card deposit,5,Transient,FALSO,8,No-Show,31/12/2017,Keelby Gowrich,kgowricher@oaic.gov.au,+1 (148) 973-1226,3557688084353590
Grand Hotel,VERDADERO,55,2015,10,6,37,4,0,1,4,,BB,China,VERDADERO,10,7,E,E,5,Cash deposit,8,Transient-Party,FALSO,0,Check-Out,11.30.2020,Michel Goane,mgoanees@issuu.com,+1 (166) 802-2857,6334600191375590000
Ocean Breeze Resort,VERDADERO,43,2020,5,17,19,10,4,6,4,,FB,Philippines,VERDADERO,5,3,A,A,5,Debit car deposit,2,Transient,FALSO,4,Canceled,04.22.2019,Judd Sreenan,jsreenanet@geocities.com,+1 (352) 583-3329,3589599871461990
Grand Hotel,FALSO,46,2020,6,19,23,23,8,4,4,4,BB,Macedonia,VERDADERO,0,8,G,G,4,Debit car deposit,0,Transient-Party,VERDADERO,6,Check-Out,01.03.2018,Marcelia Grierson,mgriersoneu@unicef.org,717-939-8275,3556769300604990
Sunset Inn,VERDADERO,47,2016,10,16,39,19,6,9,3,1,HB,Portugal,VERDADERO,,10,C,C,1,Credit card deposit,,Transient-Party,FALSO,4,Check-Out,09.05.2016,Zorina Libbey,zlibbeyev@illinois.edu,936-984-5171,3564040462060840
Grand Hotel,VERDADERO,71,2020,7,18,27,6,2,10,4,2,BB,France,FALSO,,4,C,C,6,Cash deposit,1,Contract,FALSO,1,Canceled,10/12/2016,Avie Poynser,apoynserew@wordpress.org,(623) 643-2583,201905646354578
Sunset Inn,FALSO,78,2020,1,10,2,11,4,5,2,4,FB,Poland,VERDADERO,,8,A,A,,Cash deposit,0,Contract,VERDADERO,3,No-Show,01.07.2020,Ashton Danigel,adanigelex@skyrock.com,723-057-5856,5007665467833170
Sunset Inn,FALSO,65,2017,5,9,18,11,4,10,2,,FB,China,VERDADERO,5,7,F,F,7,Cash deposit,8,Transient-Party,,4,Canceled,15-01-2019,Kelley Doig,kdoigey@ftc.gov,+1 (413) 513-0503,5048371583264280
Grand Hotel,FALSO,75,2015,9,14,34,13,4,2,5,5,HB,China,FALSO,6,7,E,E,10,Cash deposit,5,Transient-Party,VERDADERO,,Check-Out,18/04/2018,Elwood Castellan,ecastellanez@netscape.com,(883) 608-1732,3543368531401390
Ocean Breeze Resort,FALSO,66,2016,12,19,48,24,8,9,4,,HB,China,FALSO,6,,E,E,7,Credit card deposit,3,Contract,VERDADERO,4,No-Show,01.22.2020,Henderson Libri,hlibrif0@elpais.com,(997) 389-1569,201687497907734
Golden Sands Hotel,FALSO,100,2019,8,19,31,4,0,8,3,,FB,China,FALSO,8,0,D,D,9,Debit car deposit,2,Contract,VERDADERO,,Canceled,24-12-2019,Stearn Rowlatt,srowlattf1@nba.com,(338) 691-9413,4017954575221
Mountain View Lodge,FALSO,45,2020,6,8,22,11,4,4,3,,HB,China,VERDADERO,5,7,A,A,2,Credit card deposit,,Transient,FALSO,,No-Show,21-07-2019,Myrtie Langman,mlangmanf2@icio.us,461.347.0249,5602249119671490000
Golden Sands Hotel,FALSO,21,2018,7,25,28,17,6,4,5,2,FB,Western Sahara,VERDADERO,4,6,C,C,,Cash deposit,2,Transient,FALSO,6,No-Show,11.13.2020,Brigid Blowin,bblowinf3@umn.edu,763-258-1820,5641823307795770000
Mountain View Lodge,FALSO,97,2017,12,6,48,9,2,10,5,4,HB,Haiti,VERDADERO,,6,C,C,3,Debit car deposit,5,Contract,VERDADERO,5,No-Show,06.09.2018,Goddard Jaksic,gjaksicf4@sun.com,897.379.1861,4905515948502670
Grand Hotel,FALSO,95,2016,9,28,36,8,2,9,4,2,FB,Indonesia,VERDADERO,,5,F,F,9,No deposit,10,Contract,VERDADERO,3,No-Show,07.11.2018,Mario Packer,mpackerf5@indiegogo.com,(566) 535-7539,201749337823503
Sunset Inn,VERDADERO,97,2018,2,21,7,30,12,2,4,1,BB,Portugal,VERDADERO,6,4,C,C,8,Credit card deposit,7,Transient-Party,FALSO,3,Check-Out,25/06/2015,Brianne Willeman,bwillemanf6@w3.org,(575) 088-4034,3529638722478940
Mountain View Lodge,FALSO,38,2020,8,25,32,3,0,3,,,FB,Indonesia,FALSO,0,8,A,A,2,Debit car deposit,8,Transient,VERDADERO,7,No-Show,16/05/2015,Dulciana Mordacai,dmordacaif7@harvard.edu,358.790.9069,3528643562180060
Golden Sands Hotel,FALSO,40,2015,3,22,12,2,0,7,4,,HB,Indonesia,FALSO,9,7,C,C,,Cash deposit,6,Transient-Party,VERDADERO,8,No-Show,07-01-2015,Doe Deshorts,ddeshortsf8@go.com,938.396.5308,374283918701863
Golden Sands Hotel,FALSO,18,2020,11,9,42,7,2,1,,4,BB,United States,VERDADERO,6,6,C,C,2,Debit car deposit,4,Transient-Party,VERDADERO,8,No-Show,17/06/2018,Caprice Tuckwell,ctuckwellf9@ebay.co.uk,+1 (519) 905-6650,3554252631672590
Grand Hotel,VERDADERO,14,2015,12,24,48,25,10,2,2,5,FB,Austria,VERDADERO,,8,E,E,1,No deposit,7,Contract,FALSO,6,Canceled,05.27.2018,Richie Petrowsky,rpetrowskyfa@toplist.cz,927.458.4418,349981499159474
Grand Hotel,FALSO,,2020,1,30,4,7,2,7,5,2,BB,China,VERDADERO,3,5,F,F,2,No deposit,1,Transient,VERDADERO,1,Check-Out,21-06-2020,Roderic Hailes,rhailesfb@amazonaws.com,(734) 164-6521,5602224584850020
Sunset Inn,FALSO,31,2015,8,27,32,6,2,6,,2,FB,United States,FALSO,0,1,E,E,,Debit car deposit,6,Transient-Party,VERDADERO,5,Canceled,22/04/2015,Bernard Stallen,bstallenfc@gizmodo.com,992.863.8156,3528787964173310
Sunset Inn,FALSO,60,2019,11,4,41,23,8,6,2,,HB,France,VERDADERO,2,9,E,E,6,Debit car deposit,10,Transient-Party,,7,Canceled,11.07.2015,Skipper Trittam,strittamfd@princeton.edu,198-413-1282,6759614227532320000
Grand Hotel,VERDADERO,74,2016,2,1,5,29,10,3,3,,HB,Czech Republic,FALSO,1,,G,G,,No deposit,,Transient-Party,VERDADERO,4,Canceled,18-12-2015,Amber Aries,aariesfe@illinois.edu,393-669-8944,5602227905578180
Sunset Inn,VERDADERO,68,2016,8,26,32,11,4,6,1,4,HB,China,FALSO,,2,E,E,8,Cash deposit,9,Contract,VERDADERO,3,Check-Out,07.25.2018,Aggy Dukesbury,adukesburyff@barnesandnoble.com,(301) 003-1440,4026594634206890
Sunset Inn,FALSO,18,2017,7,23,28,9,2,2,4,1,FB,China,FALSO,4,,C,C,5,Cash deposit,8,Transient-Party,VERDADERO,3,Check-Out,19-07-2017,Hayyim Rigeby,hrigebyfg@hao123.com,448.657.7304,5486096544818580
Grand Hotel,FALSO,77,2016,12,1,48,1,0,8,2,2,FB,France,VERDADERO,,4,F,F,2,Credit card deposit,5,Contract,VERDADERO,2,Canceled,05.12.2016,Madison Breakwell,mbreakwellfh@oakley.com,+1 (819) 777-8490,58932456807333400
Sunset Inn,FALSO,,2019,4,28,16,9,2,9,5,3,HB,Indonesia,,5,4,E,E,5,Cash deposit,9,Transient,,10,Canceled,31/08/2016,Bank Bernadon,bbernadonfi@dailymail.co.uk,(210) 125-3683,3550280851521120
Sunset Inn,FALSO,77,2018,12,3,48,29,10,4,4,2,FB,China,VERDADERO,1,,G,G,7,No deposit,9,Transient-Party,FALSO,,Check-Out,07-07-2019,Matilda Eatttok,meatttokfj@ning.com,+1 (249) 539-1978,201754070307748
Ocean Breeze Resort,FALSO,13,2019,10,20,39,5,2,8,3,3,BB,Philippines,FALSO,,10,E,E,8,Cash deposit,5,Contract,FALSO,6,Check-Out,12.28.2017,Violette Licquorish,vlicquorishfk@google.pl,(157) 983-9233,201415612810041
Golden Sands Hotel,VERDADERO,42,2020,6,13,22,14,4,4,,4,HB,Gambia,FALSO,,10,D,D,4,Cash deposit,8,Transient-Party,VERDADERO,5,Canceled,01-05-2017,Orion Gluyus,ogluyusfl@indiegogo.com,+1 (751) 514-9753,3567787780141450
Sunset Inn,VERDADERO,69,2015,6,25,24,17,6,10,2,1,BB,Czech Republic,VERDADERO,10,6,C,C,0,Credit card deposit,3,Transient-Party,FALSO,4,No-Show,27/01/2018,Maris Treweek,mtreweekfm@360.cn,885-395-4145,5048377179470370
Mountain View Lodge,VERDADERO,,2015,3,3,9,27,10,7,1,,BB,,FALSO,8,,C,C,10,Debit car deposit,3,Contract,VERDADERO,6,Check-Out,25-11-2019,Myrle Rantoull,mrantoullfn@sbwire.com,(419) 098-6543,5602248731144950000
Sunset Inn,FALSO,47,2019,4,7,13,4,0,10,1,5,FB,Czech Republic,VERDADERO,7,0,C,C,7,Cash deposit,3,Transient,FALSO,8,Check-Out,04/12/2019,Vachel Luten,vlutenfo@indiatimes.com,506-166-6579,30194693916616
Golden Sands Hotel,VERDADERO,99,2016,12,24,48,18,6,5,3,3,FB,Ukraine,FALSO,9,3,E,E,8,Credit card deposit,,Contract,,10,Canceled,13/05/2017,Livvyy Emptage,lemptagefp@nydailynews.com,+1 (764) 904-5897,5602218477069030
Mountain View Lodge,VERDADERO,33,2016,2,4,5,2,0,8,2,5,HB,Russia,VERDADERO,,2,G,G,6,Credit card deposit,3,Transient-Party,VERDADERO,10,Canceled,28/04/2016,Jacinda Lynock,jlynockfq@ucoz.ru,(407) 213-1576,4508316740482250
Golden Sands Hotel,VERDADERO,30,2020,7,22,28,20,8,6,3,3,BB,France,VERDADERO,,4,F,F,9,Credit card deposit,,Transient,VERDADERO,1,Canceled,25/05/2018,Idell Jarmaine,ijarmainefr@wikispaces.com,632-535-9284,5002350798634870
Golden Sands Hotel,FALSO,1,2017,7,2,25,5,2,4,1,3,FB,El Salvador,VERDADERO,9,,C,C,6,Cash deposit,10,Transient-Party,VERDADERO,10,No-Show,31-08-2019,Sonny Ashton,sashtonfs@tiny.cc,+1 (240) 567-1426,4832941694845710
Ocean Breeze Resort,VERDADERO,,2018,5,24,20,4,0,7,3,4,HB,Estonia,VERDADERO,5,1,G,G,,Debit car deposit,9,Transient-Party,VERDADERO,,No-Show,05.11.2019,Rutherford Hearnes,rhearnesft@about.com,+1 (662) 987-1874,3567466884562980
Grand Hotel,VERDADERO,41,2017,5,26,20,1,0,7,2,3,FB,China,FALSO,0,6,F,F,,Debit car deposit,7,Transient-Party,FALSO,10,Check-Out,01/09/2016,Ethelbert Joselson,ejoselsonfu@tmall.com,881-706-0236,3584715465054380
Sunset Inn,FALSO,17,2018,4,27,16,4,0,6,2,3,BB,Peru,FALSO,5,10,A,A,5,Cash deposit,2,Contract,FALSO,5,Canceled,22-01-2016,Peggy Cast,pcastfv@baidu.com,(837) 959-6475,490546965350050000
Grand Hotel,VERDADERO,16,2020,2,11,6,26,10,1,3,3,HB,China,FALSO,,,E,E,5,Credit card deposit,4,Transient-Party,VERDADERO,5,No-Show,24/05/2015,Malvin Ducket,mducketfw@zimbio.com,121-263-6579,5018263459529800000
Grand Hotel,VERDADERO,94,2019,1,24,4,10,4,1,5,5,FB,Ukraine,FALSO,9,,F,F,6,Debit car deposit,9,Contract,VERDADERO,8,No-Show,14/08/2020,Jemimah Polak,jpolakfx@dot.gov,821-412-5890,5007667961276620
Mountain View Lodge,VERDADERO,,2020,10,5,37,25,10,7,4,,FB,Bosnia and Herzegovina,FALSO,8,5,A,A,10,Credit card deposit,7,Transient-Party,FALSO,5,Canceled,07.01.2020,Mile Burnip,mburnipfy@slate.com,606-775-2601,30247543472360
Sunset Inn,FALSO,35,2015,12,14,48,8,2,10,5,3,FB,France,FALSO,,,F,F,1,No deposit,2,Transient,,10,Check-Out,12.08.2020,Joseph Bladge,jbladgefz@google.ca,393.334.1799,3583112456945490
Ocean Breeze Resort,VERDADERO,78,2019,8,6,29,6,2,4,4,2,BB,China,FALSO,1,9,D,D,4,Debit car deposit,10,Contract,VERDADERO,9,Check-Out,09-10-2015,Bartlet McKeurtan,bmckeurtang0@trellian.com,+1 (369) 157-4259,6388719242983560
Ocean Breeze Resort,VERDADERO,76,2017,12,23,48,20,8,10,1,5,HB,Czech Republic,VERDADERO,,10,F,F,0,Credit card deposit,10,Transient-Party,FALSO,,Canceled,05.12.2017,Casandra Llewellin,cllewelling1@deviantart.com,868-065-4649,50182208594437800
Golden Sands Hotel,VERDADERO,44,2017,11,29,44,12,4,2,,4,HB,China,VERDADERO,8,5,A,A,9,Debit car deposit,5,Transient-Party,FALSO,,Canceled,27-05-2018,Nickie Bulmer,nbulmerg2@ucsd.edu,+1 (436) 221-7685,5274732237968420
Mountain View Lodge,FALSO,74,2017,5,26,20,18,6,5,,1,HB,Czech Republic,FALSO,,10,D,D,9,Debit car deposit,4,Transient,FALSO,1,Check-Out,11.05.2020,David Byrth,dbyrthg3@businesswire.com,613.784.4183,4041599649068
Golden Sands Hotel,VERDADERO,74,2017,5,22,20,9,2,4,5,,BB,China,VERDADERO,4,0,E,E,4,Debit car deposit,0,Transient-Party,VERDADERO,6,No-Show,22/08/2020,Opal Listone,olistoneg4@google.nl,710-078-6287,3571336755631970
Grand Hotel,FALSO,,2016,4,5,13,4,0,10,1,5,BB,Brazil,FALSO,6,10,C,C,0,Credit card deposit,2,Transient,FALSO,1,No-Show,04.05.2015,Emelia Newcome,enewcomeg5@craigslist.org,(229) 432-7466,337941995253787
Sunset Inn,VERDADERO,18,2020,8,8,30,21,8,9,4,4,FB,Egypt,,7,8,E,E,1,Credit card deposit,8,Transient-Party,FALSO,4,No-Show,19-06-2019,Fields Pflieger,fpfliegerg6@wordpress.org,(924) 490-7262,493615836398676000
Sunset Inn,VERDADERO,11,2015,1,25,4,13,4,3,5,3,FB,China,VERDADERO,1,5,G,G,5,Credit card deposit,6,Transient-Party,VERDADERO,7,No-Show,08/11/2019,Burke De Vere,bdeg7@dyndns.org,+1 (818) 772-4306,3583763923916810
Ocean Breeze Resort,VERDADERO,,2020,9,18,35,27,10,8,3,3,FB,Indonesia,VERDADERO,5,1,A,A,10,Debit car deposit,,Transient-Party,VERDADERO,5,Check-Out,25-05-2020,Herculie Miner,hminerg8@cbc.ca,155.503.3868,3556084850528870
Ocean Breeze Resort,FALSO,89,2019,11,30,44,3,0,3,5,1,FB,China,FALSO,10,1,A,A,2,Credit card deposit,7,Transient,VERDADERO,4,Check-Out,14/07/2020,Tommie Domenicone,tdomeniconeg9@unblog.fr,732.774.4126,6304948555017330000
Grand Hotel,FALSO,,2018,1,8,2,6,2,3,3,1,FB,Japan,FALSO,1,5,G,G,2,Credit card deposit,5,Contract,,10,No-Show,28/03/2020,Kale Plunkett,kplunkettga@symantec.com,806-823-4685,5330955074976120
Ocean Breeze Resort,VERDADERO,63,2016,9,10,34,9,2,5,4,2,FB,Ukraine,VERDADERO,,7,C,C,4,Credit card deposit,7,Transient,FALSO,4,Check-Out,18/12/2016,Farr Dallaghan,fdallaghangb@ca.gov,(786) 511-1761,3563071310164700
Ocean Breeze Resort,VERDADERO,55,2019,8,12,30,20,8,1,1,3,BB,Russia,VERDADERO,,,C,C,2,No deposit,8,Contract,,9,Canceled,28/08/2017,Hurleigh Lyenyng,hlyenynggc@cmu.edu,+1 (161) 912-0715,4405673719223110
Golden Sands Hotel,VERDADERO,55,2019,9,8,34,14,4,8,,4,HB,China,VERDADERO,8,4,G,G,6,Cash deposit,6,Transient,FALSO,0,No-Show,05.18.2017,Dorisa Praundl,dpraundlgd@amazonaws.com,356.728.5013,5018528998532700000
Sunset Inn,FALSO,,2017,7,7,25,5,2,6,,1,BB,Belarus,FALSO,0,,D,D,9,No deposit,4,Contract,FALSO,8,No-Show,05-05-2019,Eustace Von Helmholtz,evonge@latimes.com,(408) 577-9325,3557143387521690
Ocean Breeze Resort,FALSO,27,2019,11,20,43,17,6,5,1,,HB,Brazil,VERDADERO,10,4,C,C,1,Credit card deposit,1,Transient-Party,FALSO,8,Canceled,25-07-2016,Barnebas Goult,bgoultgf@chicagotribune.com,(282) 413-4694,30398074608524
Grand Hotel,FALSO,100,2017,9,21,35,18,6,3,5,3,BB,Guatemala,FALSO,6,0,E,E,,Credit card deposit,3,Transient-Party,FALSO,9,Canceled,05-06-2019,Dani Palphramand,dpalphramandgg@imageshack.us,956.386.1701,3542876737216430
Golden Sands Hotel,FALSO,36,2020,6,20,23,14,4,4,4,3,HB,Israel,VERDADERO,,1,G,G,9,Debit car deposit,5,Transient,FALSO,6,Check-Out,19/01/2016,Rebekkah Westgate,rwestgategh@un.org,243.461.6181,5602217506264240
Mountain View Lodge,VERDADERO,4,2015,9,21,35,24,8,4,1,4,BB,Poland,,10,,F,F,10,No deposit,9,Contract,VERDADERO,10,No-Show,15-12-2016,Domenico Lenahan,dlenahangi@exblog.jp,+1 (469) 927-4994,5007669306106260
Grand Hotel,FALSO,6,2016,12,7,48,13,4,4,4,3,BB,Russia,FALSO,7,7,E,E,10,Debit car deposit,4,Transient-Party,FALSO,,No-Show,20-01-2018,Marketa Wasson,mwassongj@mapquest.com,+1 (362) 148-8939,30449276768655
Ocean Breeze Resort,FALSO,12,2016,10,13,38,21,8,2,5,5,HB,Iceland,VERDADERO,1,1,F,F,5,Cash deposit,9,Transient-Party,VERDADERO,4,No-Show,15-09-2019,Carlynne Vel,cvelgk@ed.gov,(559) 909-4129,3584969106631330
Grand Hotel,VERDADERO,80,2020,2,15,7,21,8,2,2,1,BB,United States,FALSO,8,,F,F,,No deposit,8,Transient-Party,VERDADERO,3,No-Show,26/06/2016,Blakeley Jeynes,bjeynesgl@usda.gov,(827) 165-7699,5610490786782650
Grand Hotel,VERDADERO,98,2016,1,31,4,8,2,10,2,3,FB,China,FALSO,4,8,G,G,3,Credit card deposit,7,Contract,FALSO,0,Check-Out,09.11.2019,Tommie Hallard,thallardgm@marriott.com,917-632-8214,3584025014417100
Ocean Breeze Resort,VERDADERO,15,2020,1,5,1,14,4,9,2,,BB,Indonesia,FALSO,,2,E,E,5,Cash deposit,6,Transient-Party,FALSO,,Check-Out,23-12-2016,Vance Cashell,vcashellgn@over-blog.com,(434) 164-4292,491121578804536000
Grand Hotel,VERDADERO,16,2020,10,21,39,8,2,2,4,3,FB,Indonesia,VERDADERO,,,E,E,10,Debit car deposit,7,Contract,,1,Check-Out,15-11-2016,Oliviero Cush,ocushgo@creativecommons.org,+1 (566) 870-2128,3532647955684000
Golden Sands Hotel,FALSO,49,2016,12,6,48,6,2,6,1,1,FB,Angola,FALSO,8,,F,F,10,Debit car deposit,7,Transient,VERDADERO,10,Check-Out,28-06-2017,Rick Tidball,rtidballgp@google.es,876.699.8558,372301994590992
